runde,profil,modell,git_sha,lauf_ooc,lauf_ic,ooc_refusal_alle,halluzination_alle,halluz_pool_alle,false_suppression_alle,adversarial_refusal_alle,recall_kontext_alle,dev_fragen,dev_ooc_refusal,dev_false_suppression,dev_abweichungen,urteil_falsch,protokoll_verstoss,pipeline_messfehler,gold_strittig,urteilsfaehigkeit,protokolltreue,dev_false_suppression_ohne_pipeline,artefakte,gen_median_s,gen_p95_s,sc_median_s,sc_p95_s,llm_zeit_total_s,tok_s_effektiv_median,klassen
R00,openai,gpt-4o-mini,08c0d19,2026-09-14T21-24-38Z,2026-09-14T21-22-57Z,0.9091,0.0,36,0.3111,0.5,0.7833,58,15/16,9/33,14,4,5,0,2,0.931,0.914,9/33,0,0.77,2.05,0.72,1.64,97,10.2,D:2 P2:1 S1:4 S2a:5 S5:2
R00,qwen3-local,ollama_chat/qwen3:8b,08c0d19,2026-09-14T21-33-46Z,2026-09-14T21-25-06Z,0.6818,0.0,49,0.0667,0.5,0.7833,58,11/16,1/33,9,4,3,0,2,0.931,0.948,1/33,0,5.994999999999999,13.92,3.855,9.71,645,7.8,D:2 F1:1 P1:2 P2:1 S1:1 S3:2
R00,gemma4-local,ollama_chat/gemma4:26b,08c0d19,2026-09-15T06-03-35Z,2026-09-15T04-52-33Z,0.8182,0.0,49,0.1111,0.5,0.7833,58,12/16,4/33,10,1,1,2,3,0.983,0.983,2/33,0,40.06,136.95,35.96,55.02,5272,17.7,D:3 P2:3 S1:1 S2a:1 S2c:2
R00,gpt-oss-local,ollama_chat/gpt-oss:20b,08c0d19,2026-09-14T18-12-16Z,2026-09-14T18-00-05Z,0.9091,0.0,27,0.4889,1.0,0.7833,58,14/16,15/33,22,6,11,2,1,0.897,0.81,13/33,0,7.775,15.62,8.36,14.68,875,10.6,D:1 F1:1 S1:3 S2a:7 S2b:3 S2c:2 S4:1 S5:4
R00,ministral3-local,ollama_chat/ministral-3:14b,08c0d19,2026-09-14T18-45-03Z,2026-09-14T18-15-48Z,1.0,0.0,29,0.4,1.0,0.7833,58,16/16,13/33,19,6,8,4,1,0.897,0.862,10/33,0,11.895,54.16,5.41,80.65,1968,3.5,D:1 S1:3 S2b:6 S2c:3 S2d:1 S4:1 S5:4
R01,openai,gpt-4o-mini,0dedbaa,2026-09-15T12-15-46Z,2026-09-15T12-14-01Z,0.9545,0.0,35,0.3333,0.5,0.7833,58,16/16,10/33,14,,,,,,,,0,0.82,2.19,0.775,1.45,99,11.0,
R01,qwen3-local,ollama_chat/qwen3:8b,0dedbaa,2026-09-15T12-25-41Z,2026-09-15T12-16-17Z,0.6818,0.0,50,0.0667,0.5,0.7833,58,11/16,1/33,9,,,,,,,,0,6.875,16.27,4.9,6.17,708,7.8,
R01,gemma4-local,ollama_chat/gemma4:26b,0dedbaa,2026-09-15T16-24-27Z,2026-09-15T15-15-04Z,0.8182,0.0,51,0.0667,0.5,0.7833,58,12/16,2/33,8,,,,,,,,0,42.58,143.8,36.31,64.98,5166,18.0,
R01,gpt-oss-local,ollama_chat/gpt-oss:20b,0dedbaa,2026-09-15T12-42-38Z,2026-09-15T12-28-41Z,0.9091,0.0,30,0.4444,1.0,0.7833,58,14/16,14/33,20,,,,,,,,0,8.719999999999999,17.32,11.22,18.92,953,9.6,
R01,ministral3-local,ollama_chat/ministral-3:14b,0dedbaa,2026-09-15T13-18-30Z,2026-09-15T12-45-57Z,1.0,0.0,32,0.3333,1.0,0.7833,58,16/16,10/33,16,,,,,,,,0,13.285,66.45,9.77,63.48,2273,3.3,
